minutes,mp,nineties,gls,ast,ga,gls_p90_raw,ast_p90_raw,ga_p90_raw,player,team,pos,age,nation,league,season,sh,sot,int,tklw,crs,fls,fld,source,gls_p90,ast_p90,ga_p90,sh_p90,sot_p90,crs_p90,int_p90,tklw_p90,fls_p90,fld_p90,pos_main,budget_est,player_id
1592.0,35,17.7,7,3,10,0.4,0.17,0.57,Álex Berenguer,Athletic Club,MF,28,es ESP,La Liga,2324,32,12,5,15,139,30,22,fbref_cache,0.3954802259887006,0.16949152542372883,0.5649717514124294,1.807909604519774,0.6779661016949153,7.853107344632769,0.2824858757062147,0.8474576271186441,1.6949152542372883,1.2429378531073447,MF,16.9,47
2426.0,33,27.0,0,1,1,0.0,0.04,0.04,Antonio Blanco,Alavés,MF,23,es ESP,La Liga,2324,20,3,33,37,14,35,40,fbref_cache,0.0,0.037037037037037035,0.037037037037037035,0.7407407407407407,0.1111111111111111,0.5185185185185185,1.2222222222222223,1.3703703703703705,1.2962962962962963,1.4814814814814814,MF,15.87,48
2972.0,34,33.0,1,2,3,0.03,0.06,0.09,Daley Blind,Girona,DF,33,nl NED,La Liga,2324,17,6,19,21,16,19,12,fbref_cache,0.030303030303030304,0.06060606060606061,0.09090909090909091,0.5151515151515151,0.18181818181818182,0.48484848484848486,0.5757575757575758,0.6363636363636364,0.5757575757575758,0.36363636363636365,DF,6.87,49
2541.0,31,28.2,6,3,9,0.21,0.11,0.32,Lucas Boyé,Granada,FW,27,ar ARG,La Liga,2324,56,15,12,25,13,72,43,fbref_cache,0.2127659574468085,0.10638297872340426,0.3191489361702128,1.9858156028368794,0.5319148936170213,0.46099290780141844,0.425531914893617,0.8865248226950355,2.5531914893617023,1.524822695035461,FW,15.43,50
630.0,7,7.0,0,0,0,0.0,0.0,0.0,Claudio Bravo,Real Betis,GK,40,cl CHI,La Liga,2324,0,0,0,0,0,0,1,fbref_cache,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,GK,4.5,51
2435.0,33,27.1,17,2,19,0.63,0.07,0.7,Ante Budimir,Osasuna,FW,32,hr CRO,La Liga,2324,76,35,5,13,9,40,26,fbref_cache,0.6273062730627306,0.07380073800738007,0.7011070110701106,2.8044280442804426,1.2915129151291511,0.33210332103321033,0.18450184501845018,0.4797047970479705,1.4760147601476015,0.959409594095941,FW,12.25,52
803.0,25,8.9,0,1,1,0.0,0.11,0.11,José Callejón,Granada,"MF,FW",36,es ESP,La Liga,2324,11,3,5,5,35,12,21,fbref_cache,0.0,0.11235955056179775,0.11235955056179775,1.2359550561797752,0.33707865168539325,3.932584269662921,0.5617977528089887,0.5617977528089887,1.348314606741573,2.359550561797753,MF,5.01,53
1817.0,31,20.2,0,2,2,0.0,0.1,0.1,Eduardo Camavinga,Real Madrid,MF,20,fr FRA,La Liga,2324,17,7,26,48,4,49,68,fbref_cache,0.0,0.09900990099009901,0.09900990099009901,0.8415841584158417,0.34653465346534656,0.19801980198019803,1.2871287128712872,2.376237623762376,2.4257425742574257,3.3663366336633667,MF,19.78,54
1661.0,31,18.5,3,1,4,0.16,0.05,0.22,Sergio Camello,Rayo Vallecano,FW,22,es ESP,La Liga,2324,34,13,3,6,2,18,11,fbref_cache,0.16216216216216217,0.05405405405405406,0.21621621621621623,1.837837837837838,0.7027027027027027,0.10810810810810811,0.16216216216216217,0.32432432432432434,0.972972972972973,0.5945945945945946,FW,19.7,55
2503.0,32,27.8,2,4,6,0.07,0.14,0.22,João Cancelo,Barcelona,DF,29,pt POR,La Liga,2324,31,10,33,47,82,39,26,fbref_cache,0.07194244604316546,0.14388489208633093,0.2158273381294964,1.1151079136690647,0.3597122302158273,2.949640287769784,1.1870503597122302,1.6906474820143884,1.4028776978417266,0.935251798561151,DF,12.04,56
1229.0,27,13.7,1,2,3,0.07,0.15,0.22,Sergi Canós,Valencia,MF,26,es ESP,La Liga,2324,43,17,11,13,36,17,16,fbref_cache,0.07299270072992702,0.14598540145985403,0.21897810218978103,3.1386861313868613,1.2408759124087592,2.6277372262773726,0.8029197080291971,0.9489051094890512,1.2408759124087592,1.1678832116788322,MF,15.36,57
1455.0,32,16.2,1,1,2,0.06,0.06,0.12,Étienne Capoue,Villarreal,MF,35,fr FRA,La Liga,2324,14,5,23,21,7,25,41,fbref_cache,0.0617283950617284,0.0617283950617284,0.1234567901234568,0.8641975308641976,0.308641975308642,0.4320987654320988,1.4197530864197532,1.2962962962962963,1.5432098765432098,2.5308641975308643,MF,5.06,58
2611.0,35,29.0,0,0,0,0.0,0.0,0.0,Isaac Carcelen,Cádiz,DF,30,es ESP,La Liga,2324,10,3,23,32,67,16,44,fbref_cache,0.0,0.0,0.0,0.3448275862068966,0.10344827586206896,2.310344827586207,0.7931034482758621,1.103448275862069,0.5517241379310345,1.5172413793103448,DF,9.0,59
737.0,26,8.2,4,1,5,0.49,0.12,0.61,Marc Cardona,Las Palmas,FW,28,es ESP,La Liga,2324,22,11,2,8,5,12,19,fbref_cache,0.48780487804878053,0.12195121951219513,0.6097560975609757,2.682926829268293,1.3414634146341464,0.6097560975609757,0.24390243902439027,0.9756097560975611,1.4634146341463417,2.3170731707317076,FW,17.39,60
2814.0,35,31.3,1,2,3,0.03,0.06,0.1,Sergi Cardona,Las Palmas,DF,24,es ESP,La Liga,2324,26,5,45,58,89,52,59,fbref_cache,0.03194888178913738,0.06389776357827476,0.09584664536741214,0.8306709265175719,0.1597444089456869,2.8434504792332267,1.4376996805111821,1.853035143769968,1.6613418530351438,1.8849840255591055,DF,15.78,61
1328.0,17,14.8,1,2,3,0.07,0.14,0.2,Johnny Cardoso,Real Betis,MF,21,us USA,La Liga,2324,12,3,31,30,3,21,19,fbref_cache,0.06756756756756756,0.13513513513513511,0.2027027027027027,0.8108108108108107,0.2027027027027027,0.2027027027027027,2.0945945945945943,2.0270270270270268,1.4189189189189189,1.2837837837837838,MF,20.57,62
1313.0,30,14.6,1,1,2,0.07,0.07,0.14,Carmona,Getafe,"MF,DF",21,es ESP,La Liga,2324,12,3,22,21,29,33,23,fbref_cache,0.0684931506849315,0.0684931506849315,0.136986301369863,0.8219178082191781,0.20547945205479454,1.9863013698630136,1.5068493150684932,1.4383561643835616,2.26027397260274,1.5753424657534247,MF,19.44,63
475.0,13,5.3,0,0,0,0.0,0.0,0.0,Álvaro Carreras,Granada,"MF,FW",20,es ESP,La Liga,2324,7,1,8,7,15,6,11,fbref_cache,0.0,0.0,0.0,1.3207547169811322,0.18867924528301888,2.8301886792452833,1.509433962264151,1.3207547169811322,1.1320754716981132,2.0754716981132075,MF,18.0,64
2171.0,28,24.1,4,3,7,0.17,0.12,0.29,Dani Carvajal,Real Madrid,DF,31,es ESP,La Liga,2324,18,10,20,38,50,23,19,fbref_cache,0.16597510373443983,0.12448132780082986,0.2904564315352697,0.7468879668049793,0.41493775933609955,2.0746887966804977,0.8298755186721991,1.5767634854771784,0.954356846473029,0.7883817427385892,DF,10.45,65
680.0,22,7.6,1,3,4,0.13,0.4,0.53,William Carvalho,Real Betis,MF,31,pt POR,La Liga,2324,8,3,8,12,4,13,5,fbref_cache,0.13157894736842105,0.39473684210526316,0.5263157894736842,1.0526315789473684,0.39473684210526316,0.5263157894736842,1.0526315789473684,1.5789473684210527,1.7105263157894737,0.6578947368421053,MF,12.36,66
2534.0,30,28.2,1,3,4,0.04,0.11,0.14,Catena,Osasuna,DF,28,es ESP,La Liga,2324,18,5,16,20,0,47,14,fbref_cache,0.03546099290780142,0.10638297872340426,0.14184397163120568,0.6382978723404256,0.1773049645390071,0.0,0.5673758865248227,0.7092198581560284,1.6666666666666667,0.49645390070921985,DF,12.33,67
598.0,20,6.6,0,2,2,0.0,0.3,0.3,Dani Ceballos,Real Madrid,MF,26,es ESP,La Liga,2324,7,1,0,5,8,5,19,fbref_cache,0.0,0.30303030303030304,0.30303030303030304,1.0606060606060606,0.15151515151515152,1.2121212121212122,0.0,0.7575757575757576,0.7575757575757576,2.878787878787879,MF,16.42,68
980.0,14,10.9,0,1,1,0.0,0.09,0.09,Álex Centelles,Almería,DF,25,es ESP,La Liga,2324,2,1,16,7,43,10,13,fbref_cache,0.0,0.09174311926605504,0.09174311926605504,0.18348623853211007,0.09174311926605504,3.944954128440367,1.4678899082568806,0.6422018348623852,0.9174311926605504,1.1926605504587156,DF,14.74,69
546.0,17,6.1,0,1,1,0.0,0.16,0.16,Franco Cervi,Celta Vigo,"MF,DF",29,ar ARG,La Liga,2324,9,1,9,19,18,6,19,fbref_cache,0.0,0.1639344262295082,0.1639344262295082,1.4754098360655739,0.1639344262295082,2.9508196721311477,1.4754098360655739,3.114754098360656,0.9836065573770493,3.114754098360656,MF,11.52,70
1167.0,22,13.0,1,1,2,0.08,0.08,0.15,Pep Chavarría,Rayo Vallecano,"DF,MF",25,es ESP,La Liga,2324,11,2,8,16,71,8,22,fbref_cache,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.8461538461538461,0.15384615384615385,5.461538461538462,0.6153846153846154,1.2307692307692308,0.6153846153846154,1.6923076923076923,DF,15.58,71
1979.0,30,22.0,2,2,4,0.09,0.09,0.18,Andreas Christensen,Barcelona,"DF,MF",27,dk DEN,La Liga,2324,12,4,20,15,0,26,10,fbref_cache,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.5454545454545454,0.18181818181818182,0.0,0.9090909090909091,0.6818181818181818,1.1818181818181819,0.45454545454545453,DF,13.83,72
2434.0,31,27.0,0,1,1,0.0,0.04,0.04,Chumi,Almería,DF,24,es ESP,La Liga,2324,5,1,15,23,2,23,8,fbref_cache,0.0,0.037037037037037035,0.037037037037037035,0.18518518518518517,0.037037037037037035,0.07407407407407407,0.5555555555555556,0.8518518518518519,0.8518518518518519,0.2962962962962963,DF,14.93,73
1864.0,22,20.7,0,1,1,0.0,0.05,0.05,Víctor Chust,Cádiz,DF,23,es ESP,La Liga,2324,4,0,12,17,2,15,4,fbref_cache,0.0,0.04830917874396135,0.04830917874396135,0.1932367149758454,0.0,0.0966183574879227,0.5797101449275363,0.821256038647343,0.7246376811594203,0.1932367149758454,DF,16.04,74
1664.0,31,18.5,1,0,1,0.05,0.0,0.05,Pathé Ciss,Rayo Vallecano,MF,29,sn SEN,La Liga,2324,22,8,28,24,3,27,29,fbref_cache,0.05405405405405406,0.0,0.05405405405405406,1.1891891891891893,0.43243243243243246,0.16216216216216217,1.5135135135135136,1.2972972972972974,1.4594594594594594,1.5675675675675675,MF,10.44,75
